,mission_id,geometry
318,ap075431,POINT (142.0826 45.89781)
319,ap067958,POINT (119.9273 51.32797)
320,ap067397,POINT (115.432999 51.016701)
321,ap070793,POINT (129.613 50.6947)
322,ap071206,POINT (132.13077 47.57175)
323,ap071181,POINT (131.91988 59.169249)
324,ap075364,POINT (141.800995 45.404202)
325,ap067542,POINT (116.4814 50.361383)
326,ap068826,POINT (123.9131 53.48339)
327,ap069172,POINT (126.320977 45.406874)
328,ap069997,POINT (127.308884 50.171621)
329,ap071320,POINT (132.569455 52.771507)
330,ap071532,POINT (133.413 44.261)
331,ap075620,POINT (142.768005 47.2617)
332,ap075325,POINT (141.654321 45.114106)
333,ap073115,POINT (137.512608 60.256935)
334,ap075260,POINT (141.400487 44.439286)
335,ap067895,POINT (119.504728 58.44634)
336,ap071736,POINT (134.27342 47.34019)
337,ap069510,POINT (126.91308 51.66368)
338,ap070476,POINT (128.9329 51.6603)
339,ap067545,POINT (116.513894 54.441672)
340,ap067730,POINT (118.03401 49.67748)
341,ap073250,POINT (138.0449 56.4321)
342,ap072718,POINT (136.292007 44.814999)
343,ap072884,POINT (136.854996 62.789001)
344,ap068065,POINT (120.471001 60.397499)
345,ap071147,POINT (131.67006 44.22531)
346,ap075400,POINT (141.92491 44.65801)
347,ap075659,POINT (142.928772 49.270554)
348,ap072798,POINT (136.5912 45.0825)
349,ap070238,POINT (128.072998 50.134998)
350,ap071763,POINT (134.434998 60.356998)
351,ap071893,POINT (135.14229 48.43709)
352,ap075650,POINT (142.882996 49.401699)
353,ap073448,POINT (138.657357 47.178201)
354,ap067707,POINT (117.83492 49.57363)
355,ap069129,POINT (126.128374 48.441037)
356,ap067381,POINT (115.242634 52.659388)
357,ap075415,POINT (142.00005 47.28947)
358,ap067315,POINT (114.646004 48.1357)
359,ap067769,POINT (118.37125 49.82489)
360,ap075023,POINT (140.649994 53.154999)
361,ap070466,POINT (128.8795 50.58205)
362,ap067911,POINT (119.63956 51.01742)
363,ap067926,POINT (119.7396 53.7421)
364,ap070072,POINT (127.50863 49.99182)
365,ap071221,POINT (132.21074 47.79227)
366,ap071159,POINT (131.800003 44.095001)
367,ap071842,POINT (134.82607 47.52135)
368,ap067736,POINT (118.061142 50.033108)
369,ap068650,POINT (122.008333 46.195333)
370,ap071372,POINT (132.84763 45.29021)
371,ap068855,POINT (124.187007 63.720041)
372,ap067965,POINT (119.96415 51.43523)
373,ap071190,POINT (131.96947 47.64927)
374,ap067330,POINT (114.825996 60.7206)
375,ap067242,POINT (114.242996 57.8661)
376,ap071739,POINT (134.28723 46.80673)
377,ap067546,POINT (116.532997 52)
378,ap068747,POINT (123.019722 45.505278)
379,ap068987,POINT (125.35989 48.30346)
380,ap075715,POINT (143.140783 51.782337)
381,ap069295,POINT (126.71333 48.65333)
382,ap067170,POINT (114.039001 62.534698)
383,ap071679,POINT (134.06924 47.45055)
384,ap070246,POINT (128.13968 49.55586)
385,ap072793,POINT (136.571033 49.444833)
386,ap069508,POINT (126.91011 48.91567)
387,ap070105,POINT (127.643331 51.985001)
388,ap067779,POINT (118.4958 49.91687)
389,ap068728,POINT (122.777 63.884998)
390,ap067644,POINT (117.33 49.566667)
391,ap075774,POINT (143.34743 44.36141)
392,ap068976,POINT (125.255277 63.561388)
393,ap071361,POINT (132.783005 48.400002)
394,ap067391,POINT (115.336039 49.194129)
395,ap067622,POINT (117.13872 60.133212)
396,ap067344,POINT (114.93 56.361668)
397,ap072809,POINT (136.634995 51.1717)
398,ap070909,POINT (130.464996 46.843399)
